model_id,provider_name,quantization,prompt_price,completion_price,context_length,status
thinkingmachines/inkling,Together,unknown,0.000001,0.00000405,524288,0
moonshotai/kimi-k3,Moonshot AI,int4,0.000003,0.000015,1048576,0
meta/muse-spark-1.1,Meta,unknown,0.00000125,0.00000425,1048576,0
kwaipilot/kat-coder-air-v2.5,StreamLake,unknown,0.00000015,0.0000006,256000,0
kwaipilot/kat-coder-pro-v2.5,StreamLake,unknown,0.00000074,0.00000296,256000,0
openai/gpt-5.6-luna-pro,OpenAI,unknown,0.000001,0.000006,1050000,0
openai/gpt-5.6-luna-pro,OpenAI,unknown,0.0000005,0.000003,1050000,0
openai/gpt-5.6-luna-pro,OpenAI,unknown,0.000002,0.000012,1050000,0
openai/gpt-5.6-luna-pro,Azure,unknown,0.000001,0.000006,1050000,0
openai/gpt-5.6-luna-pro,Azure,unknown,0.0000011,0.0000066,1050000,0
openai/gpt-5.6-luna,OpenAI,unknown,0.000001,0.000006,1050000,0
openai/gpt-5.6-luna,OpenAI,unknown,0.0000005,0.000003,1050000,0
openai/gpt-5.6-luna,OpenAI,unknown,0.000002,0.000012,1050000,0
openai/gpt-5.6-luna,Azure,unknown,0.000001,0.000006,1050000,0
openai/gpt-5.6-luna,Azure,unknown,0.0000011,0.0000066,1050000,0
openai/gpt-5.6-terra-pro,OpenAI,unknown,0.0000025,0.000015,1050000,-2
openai/gpt-5.6-terra-pro,OpenAI,unknown,0.00000125,0.0000075,1050000,-2
openai/gpt-5.6-terra-pro,OpenAI,unknown,0.000005,0.00003,1050000,-2
openai/gpt-5.6-terra-pro,Azure,unknown,0.0000025,0.000015,1050000,0
openai/gpt-5.6-terra-pro,Azure,unknown,0.00000275,0.0000165,1050000,0
openai/gpt-5.6-terra,Azure,unknown,0.0000025,0.000015,1050000,0
openai/gpt-5.6-terra,OpenAI,unknown,0.0000025,0.000015,1050000,0
openai/gpt-5.6-terra,OpenAI,unknown,0.00000125,0.0000075,1050000,0
openai/gpt-5.6-terra,OpenAI,unknown,0.000005,0.00003,1050000,0
openai/gpt-5.6-terra,Azure,unknown,0.00000275,0.0000165,1050000,0
openai/gpt-5.6-sol-pro,Azure,unknown,0.000005,0.00003,1050000,-2
openai/gpt-5.6-sol-pro,OpenAI,unknown,0.000005,0.00003,1050000,-2
openai/gpt-5.6-sol-pro,OpenAI,unknown,0.0000025,0.000015,1050000,-2
openai/gpt-5.6-sol-pro,OpenAI,unknown,0.00001,0.00006,1050000,-2
openai/gpt-5.6-sol-pro,Azure,unknown,0.0000055,0.000033,1050000,0
openai/gpt-5.6-sol,OpenAI,unknown,0.000005,0.00003,1050000,0
openai/gpt-5.6-sol,OpenAI,unknown,0.0000025,0.000015,1050000,0
openai/gpt-5.6-sol,OpenAI,unknown,0.00001,0.00006,1050000,0
openai/gpt-5.6-sol,Azure,unknown,0.000005,0.00003,1050000,0
openai/gpt-5.6-sol,Azure,unknown,0.0000055,0.000033,1050000,0
x-ai/grok-4.5,xAI,unknown,0.000002,0.000006,500000,0
x-ai/grok-4.5,xAI,unknown,0.000004,0.000012,500000,0
x-ai/grok-4.5,xAI,unknown,0.000002,0.000006,500000,0
x-ai/grok-4.5,xAI,unknown,0.000004,0.000012,500000,0
aion-labs/aion-3.0-mini,AionLabs,unknown,0.0000007,0.0000014,131072,0
aion-labs/aion-3.0,AionLabs,unknown,0.000003,0.000006,131072,0
tencent/hy3,DeepInfra,fp8,0.00000014,0.00000058,262144,0
tencent/hy3,GMICloud,bf16,0.00000014,0.00000058,262144,0
tencent/hy3,AtlasCloud,fp8,0.0000002,0.0000008,262144,0
tencent/hy3:free,Novita,unknown,0,0,262144,0
poolside/laguna-xs-2.1,Poolside,fp8,0.00000006,0.00000012,262144,0
poolside/laguna-xs-2.1:free,Poolside,fp8,0,0,262144,0
anthropic/claude-sonnet-5,Azure,unknown,0.000002,0.00001,1000000,0
anthropic/claude-sonnet-5,Anthropic,unknown,0.000002,0.00001,1000000,0
